Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
33,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.42,85.6,Adult,Female,16-04-2017,Cuba,Swamps,Critically Endangered,Matthew Smith,Sing despite sound receive let newspaper true.
34,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.01,28.9,Juvenile,Unknown,22-10-2008,Philippines,Rivers,Critically Endangered,Casey Marshall,Write other wear through partner rest measure store natural today season listen else easy point she miss.
35,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,0.76,36.7,Juvenile,Unknown,23-01-2024,Papua New Guinea,Swamps,Least Concern,Denise Jones,Doctor from throw ball character him check degree increase former letter.
36,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.26,84.2,Adult,Male,17-06-2022,Philippines,Freshwater Marshes,Critically Endangered,Ross Price,Watch affect thing offer local wall fear hope through structure.
37,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.48,21.9,Adult,Female,10-12-2021,Côte d'Ivoire,Small Streams,Vulnerable,Morgan Marsh,Major event magazine home protect something right subject try wonder move trade.
38,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.96,182.7,Adult,Unknown,14-05-2010,Liberia,Swamps,Critically Endangered,Mary Miller,Career left anyone here deep force seven.
39,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.05,24,Juvenile,Female,30-04-2014,Australia,Freshwater Rivers,Least Concern,Paul Decker,Strong like see appear weight difference attention whatever American all easy.
40,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.72,150.3,Subadult,Female,27-01-2017,Senegal,Oases,Least Concern,Lisa Allen,Prove nor design record short cold parent security boy standard who blue agent find quality when.
41,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.25,195.6,Adult,Unknown,14-09-2008,Pakistan,Rivers,Vulnerable,Miguel Jones,Drug recent feeling range south someone not American mouth product attention positive actually information majority item gun through least.
42,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.57,387.4,Subadult,Female,27-01-2022,South Africa,Marshes,Least Concern,Christopher Boyd,Pattern try simple let stay or focus early various everything late.
43,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.29,33.2,Hatchling,Unknown,02-06-2008,Thailand,Slow Rivers,Critically Endangered,Laura Barnett,Agreement surface consider deep something future they red everybody act way beat result.
44,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.33,74,Adult,Unknown,10-02-2021,Mexico,Swamps,Least Concern,Peter Vaughn DDS,Large admit family identify during professional hard network gas you nearly goal.
45,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.5,90.6,Adult,Male,15-09-2006,Guatemala,Lagoons,Least Concern,Eric Hall,Firm sea week real course school everybody.
46,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.52,104.1,Adult,Male,15-10-2012,Guatemala,Rivers,Least Concern,Paige Carlson,Strategy fast guess few remain call animal.
47,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.04,155,Adult,Unknown,30-12-2024,Colombia,Estuaries,Vulnerable,Edgar Raymond,Bill activity expect long future whole education technology box assume man officer rather charge.
48,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.4,316.6,Subadult,Female,25-03-2012,Venezuela,Large Rivers,Critically Endangered,Tiffany Miller,Budget share paper so difficult mission late kind team.
49,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.43,96.9,Adult,Male,09-12-2015,Sierra Leone,Swamps,Critically Endangered,Elizabeth Oliver DDS,Way debate decision produce church community avoid.
50,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.51,87.4,Subadult,Female,28-06-2019,Indonesia (Papua),Swamps,Least Concern,Jerry Wheeler,Allow explain executive teacher author.
51,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.57,229.3,Adult,Female,18-07-2014,USA (Florida),Mangroves,Vulnerable,Dennis Moody,Product value interesting name positive training step author coach film see notice eye buy.
52,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.96,149.9,Adult,Unknown,25-02-2009,Sierra Leone,Shaded Forest Rivers,Critically Endangered,Melissa Bender,Music just our threat same page ago director purpose team onto again share start office several.
53,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.96,31.8,Juvenile,Male,18-11-2020,Thailand,Swamps,Critically Endangered,Joseph Ramos,Consider one play man before.
54,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.83,953.9,Adult,Unknown,19-05-2011,Papua New Guinea,Coastal Wetlands,Least Concern,Gary Santiago,Form really explain war spend nearly lawyer fire follow wife.
55,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.97,120.1,Subadult,Female,07-08-2018,Papua New Guinea,Rivers,Least Concern,Jose Travis,Left approach million performance material kind appear environment capital explain thing machine ahead picture son.
56,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,1.77,71.7,Juvenile,Female,25-10-2019,Guinea,Shaded Forest Rivers,Critically Endangered,Emily Smith,Behavior yeah tree left brother strategy marriage respond meeting event.
57,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,0.43,93.9,Hatchling,Female,07-08-2006,Venezuela,Flooded Savannas,Critically Endangered,Veronica Sanchez,Certain course out second carry attorney significant take future skin environment.
58,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.05,70.8,Juvenile,Unknown,30-08-2025,Malaysia (Borneo),Estuarine Systems,Data Deficient,Nicholas Monroe,Your majority chance Mrs generation necessary myself lay focus.
59,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.26,91.6,Subadult,Male,19-02-2010,Nigeria,Shaded Forest Rivers,Critically Endangered,Michael Armstrong,Task improve fish list tree high write society.
60,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.43,818.2,Adult,Male,18-07-2015,Indonesia,Coastal Wetlands,Least Concern,Brittany Hanna,Maybe opportunity thank them key moment lead reveal.
61,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,3.04,133.9,Adult,Unknown,28-10-2005,Indonesia (Papua),Lakes,Least Concern,Matthew Moore,Sit enter perhaps however bag forget purpose move west phone thought maintain must.
62,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.56,136.2,Adult,Unknown,13-05-2015,Vietnam,Slow Rivers,Critically Endangered,Cynthia Cohen,Young section its better plant their kitchen really.
63,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.18,12.5,Adult,Female,30-10-2014,Cameroon,Small Streams,Vulnerable,Amber Flynn,Grow issue each include radio conference.
64,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.78,383.2,Adult,Male,09-05-2015,Kenya,Lakes,Least Concern,Leon Reyes,Marriage on discussion point least project together let explain national available.
65,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.93,46.7,Adult,Female,11-04-2009,Australia,Freshwater Rivers,Least Concern,Victoria Evans,Real lead few yourself table blood high grow fast recognize against.
66,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.56,106.5,Adult,Male,07-01-2015,Malaysia (Borneo),Estuarine Systems,Data Deficient,Jennifer Smith,Treat seat strategy total simply discover soon.
67,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.25,19.3,Subadult,Female,29-08-2013,Congo (DRC),Slow Streams,Data Deficient,Connor King,Pick tough position final.
68,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.23,81.8,Adult,Female,06-05-2005,Cuba,Swamps,Critically Endangered,Kevin Oconnor,Travel force indeed customer skill.
69,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.66,262.6,Adult,Unknown,10-04-2024,Venezuela,Brackish Rivers,Vulnerable,Holly Shaw,Store either station loss southern second full boy while cell.
70,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.85,67.3,Subadult,Male,14-12-2014,Cameroon,Swamps,Endangered,Shannon Ramsey,Whose source hand so add Mr.
71,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.9,629.7,Subadult,Male,09-10-2006,Philippines,Coastal Wetlands,Least Concern,Michael Chambers,Herself police he push likely people wall foreign particular positive play less.
72,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.2,38,Juvenile,Unknown,17-09-2011,Congo Basin Countries,Swamps,Endangered,Marie Wilson,Watch fight manage best thought career.
73,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.9,165.4,Adult,Female,29-06-2005,Nigeria,Swamps,Critically Endangered,Michael Paul,Industry score choice increase between majority impact week allow have kitchen wear.
74,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.34,596.2,Subadult,Female,30-11-2009,Egypt,Lakes,Least Concern,Ariana Jennings,Top population art every why we station begin deep police wife anything.
75,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.63,107.9,Adult,Unknown,13-12-2007,Cuba,Swamps,Critically Endangered,William Buchanan,Attention share debate democratic thank forget challenge too able.
76,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.54,103.3,Adult,Male,07-10-2010,Malaysia (Borneo),Estuarine Systems,Data Deficient,Brianna Anderson,Sometimes body term capital group small open administration enter camera.
77,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.15,75.1,Adult,Female,21-12-2023,Guatemala,Rivers,Least Concern,Brian Brown,Sing message board mean war analysis situation term.
78,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.13,86.4,Adult,Unknown,02-05-2013,Mali,Oases,Least Concern,Judith Maynard,Your suggest international blue Republican kitchen.
79,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.69,63.7,Juvenile,Female,25-07-2019,Gabon,Forest Rivers,Endangered,Erica Hernandez,Every plan nature foot yes most.
80,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.07,791.7,Adult,Female,05-03-2018,Malaysia,Mangroves,Least Concern,Larry Garcia,Table prepare shoulder result Democrat later direction fund.
81,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.1,41.1,Juvenile,Female,19-03-2017,Guatemala,Rivers,Least Concern,Jason Davis,Fine effort well rather listen before.
82,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,3.02,180.7,Adult,Male,25-08-2022,Niger,Rivers,Least Concern,Jeffrey Garner,Speech news only no form business government program.
83,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.6,47,Subadult,Male,22-03-2011,Philippines,Freshwater Marshes,Critically Endangered,Shawna Griffith,Outside goal official defense prevent difference board suddenly happen several off southern suddenly.
84,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,1.25,36.3,Juvenile,Male,07-09-2015,Vietnam,Swamps,Critically Endangered,Sabrina Austin,Ago upon stop environment Congress reflect finally fund accept thank not husband center plan air second Democrat information.
85,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.31,90.9,Adult,Female,11-04-2015,Guatemala,Swamps,Least Concern,Jacob Griffith,Other third choose senior anyone bank kitchen.
86,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.79,34.2,Juvenile,Unknown,20-04-2017,Congo Basin Countries,Swamps,Endangered,Lawrence Perry,Sense box involve exist question main project animal house out.
87,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.23,13.1,Adult,Unknown,03-03-2021,Sierra Leone,Small Streams,Vulnerable,Eric Clark,Share face build market issue can mouth discover next property.
88,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.82,159.3,Subadult,Unknown,14-09-2025,Pakistan,Lakes,Vulnerable,James Harmon,Affect TV television office of remember individual boy.
89,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.76,152.5,Adult,Unknown,07-08-2017,Costa Rica,Coastal Lagoons,Vulnerable,Frederick Solis,Least ready gun join black job hundred bad that second develop single baby plan most create.
90,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.45,75.8,Subadult,Unknown,09-10-2009,Papua New Guinea,Rivers,Least Concern,Heather Mullen,Door chair culture own set pretty concern.
91,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.51,102.4,Subadult,Unknown,06-10-2018,Guatemala,Lagoons,Least Concern,Kathleen Webster,Large under north play person ten physical character attention kind field ever argue medical financial later arm story.
92,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.32,309.5,Subadult,Unknown,28-12-2013,Kenya,Lakes,Least Concern,Sean Wyatt,Order his oil west school American training occur.
93,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.88,273.6,Adult,Unknown,17-05-2018,Mexico,Coastal Lagoons,Vulnerable,Larry Mason,Late specific study word base.
94,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.96,133.2,Juvenile,Male,10-05-2011,Colombia,Flooded Savannas,Critically Endangered,Amanda Zimmerman,Model particular hair truth hold simple.
95,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,1.21,54.8,Juvenile,Male,27-02-2016,Pakistan,Rivers,Vulnerable,Amy Mccoy,At behind question exist rich prevent trade their.
96,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.7,131.1,Subadult,Female,30-08-2025,Mali,Lakes,Least Concern,Kevin Thomas,Financial prevent product can remember be next poor foreign campaign reflect water.
97,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,3.08,188.3,Adult,Female,23-12-2006,Chad,Rivers,Least Concern,Susan Davis DDS,Gun guy Congress degree way main difficult case baby such big.
98,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.4,91.7,Subadult,Male,25-11-2016,Indonesia (Borneo),Estuarine Systems,Data Deficient,Sandy Stephenson,Product then peace others child Congress realize.
99,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.71,125.3,Adult,Male,03-05-2022,Cuba,Swamps,Critically Endangered,Stephanie Griffith,Improve put down know expect security large move.
100,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.21,64.9,Subadult,Unknown,31-08-2006,Indonesia (Papua),Swamps,Least Concern,Robert Harrison,Happy water worker left example high month whom stage soon.
101,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.86,760.5,Adult,Unknown,16-08-2013,Papua New Guinea,Estuaries,Least Concern,David Davidson,Never bill suffer surface expect several evening town challenge join watch develop later.
102,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.27,76.7,Adult,Unknown,30-06-2019,Philippines,Freshwater Marshes,Critically Endangered,Alexander Brown,Hear history bank different five between research friend certainly although true.
103,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.58,109.7,Adult,Female,24-06-2006,Liberia,Shaded Forest Rivers,Critically Endangered,Ronald Blake,Large accept bad eight strong nature road month book explain feeling answer information soldier lead book.
104,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.54,104.3,Subadult,Female,17-12-2011,Senegal,Oases,Least Concern,Linda Smith,Offer responsibility fact ability good number cost property model guess well name skill medical after.
105,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.93,147.4,Adult,Unknown,06-10-2020,Cuba,Swamps,Critically Endangered,Amanda Hughes,Effect administration small general run pick sign same forward and national spend compare single.
106,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.26,74.5,Adult,Unknown,27-10-2024,Papua New Guinea,Rivers,Least Concern,Michael Welch,As simply leader fall analysis current.
107,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.28,104.8,Adult,Male,20-03-2014,Niger,Oases,Least Concern,Timothy Robertson,List already positive experience television answer pretty event son join hundred.
108,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.07,199.3,Adult,Male,02-04-2013,Nigeria,Swamps,Critically Endangered,Tyler Morgan,Many marriage under mind song risk bad own state nation.
109,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.57,82.1,Adult,Female,04-03-2006,Australia,Billabongs,Least Concern,Bobby Guerrero,Knowledge response coach know language risk treatment past itself police social arm provide.
110,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.46,100.2,Subadult,Male,03-06-2025,Mexico,Rivers,Least Concern,Jose Brady,Well central parent sit alone attack sing hand.
111,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,1.77,159.9,Juvenile,Unknown,31-07-2019,Tanzania,Lakes,Least Concern,Keith Jacobs,We head several off morning huge power economic box.
112,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.59,402.7,Subadult,Female,02-11-2009,India,Coastal Wetlands,Least Concern,Kathryn Hughes,Brother simple region Democrat partner really your customer career.
113,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.59,37.4,Juvenile,Unknown,15-05-2005,Australia,Gorges,Least Concern,Christopher Reeves,Specific whose worry property remember.
114,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.77,38.1,Juvenile,Unknown,16-03-2017,Australia,Billabongs,Least Concern,Donna Evans,Republican until point soldier meeting building cut catch so ago.
115,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.68,692.4,Adult,Unknown,28-06-2021,Indonesia,Mangroves,Least Concern,Jackie Lara,Candidate this assume huge response long improve.
116,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.32,163.4,Adult,Unknown,02-02-2009,Papua New Guinea,Freshwater Wetlands,Least Concern,Kenneth Martinez,Politics last quite general there sister policy consider whom item treat area buy.
117,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.1,827.2,Subadult,Female,17-02-2011,Australia,Tidal Rivers,Least Concern,Christopher Morris,Generation wait thus suffer economy play nearly by field move.
118,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.9,158.4,Subadult,Male,23-04-2021,Chad,Rivers,Least Concern,Caroline David,Commercial person top front under American tell ball we.
119,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,4.55,524.1,Adult,Female,27-09-2008,Colombia,Flooded Savannas,Critically Endangered,Deborah Clark,Indicate police marriage phone face what lot source rate father authority art keep machine daughter parent fine.
120,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.22,809,Adult,Male,07-09-2006,Malaysia,Coastal Wetlands,Least Concern,Morgan Valencia,Candidate have no five letter environment easy best face his past eat.
121,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.86,8.1,Juvenile,Female,21-09-2017,Guinea,Forest Swamps,Vulnerable,Caitlin Murphy,Return couple city you level these market bed hotel lead drive on any example our successful pull.
122,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.69,100.3,Adult,Male,19-07-2007,Papua New Guinea,Freshwater Wetlands,Least Concern,Adam Rodriguez,Think road shake hand hundred now crime network available mean.
123,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.37,18.1,Adult,Female,26-07-2020,Côte d'Ivoire,Forest Swamps,Vulnerable,Diana Hays,Budget window hour some fund voice sense current meeting.
124,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.26,86.1,Adult,Male,19-12-2020,Cuba,Swamps,Critically Endangered,Amber Taylor,Sound mind chance throw cause use five hotel pattern successful order medical meeting majority.
